"","Sentence","Subject","Length_of_sentence_recording","Expected_length_of_Recording","Length_of_Recording","Unexpected_Overspill"
"99","Sarah_engels_Mary_draws_a_lock_0.wav","f8c19b269a3307cc3794c234603144f8",1554,4254,4634,380
"100","Sarah_engels_Mary_drives_a_car_0.wav","13c98e912212b5f35940704e0b0888ba",1522,4222,4554,332
"101","Sarah_engels_Mary_drives_a_car_0.wav","1615981459",1522,4222,4501,279
"102","Sarah_engels_Mary_drives_a_car_0.wav","46c3b725b7b943366f24bc420b0d72a7",1522,4222,4551,329
"103","Sarah_engels_Mary_drives_a_car_0.wav","7304b0bf72856db551282e1c54fbf7eb",1522,4222,4598,376
"104","Sarah_engels_Mary_drives_a_car_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1522,4222,4573,351
"105","Sarah_engels_Mary_drives_a_car_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1522,4222,4897,675
"106","Sarah_engels_Mary_drives_a_car_0.wav","920a27b518e889e62252ffb5766b8a71",1522,4222,5404,1182
"107","Sarah_engels_Mary_drives_a_car_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1522,4222,4640,418
"108","Sarah_engels_Mary_drives_a_car_0.wav","f8c19b269a3307cc3794c234603144f8",1522,4222,4566,344
"109","Sarah_engels_Mary_empties_a_mailbox_0.wav","13c98e912212b5f35940704e0b0888ba",2018,4718,4586,-132
"110","Sarah_engels_Mary_empties_a_mailbox_0.wav","1615981459",2018,4718,4542,-176
"111","Sarah_engels_Mary_empties_a_mailbox_0.wav","46c3b725b7b943366f24bc420b0d72a7",2018,4718,4557,-161
"112","Sarah_engels_Mary_empties_a_mailbox_0.wav","7304b0bf72856db551282e1c54fbf7eb",2018,4718,4660,-58
"113","Sarah_engels_Mary_empties_a_mailbox_0.wav","7f94a6a00b81835afd4a31a99888f4b0",2018,4718,4566,-152
"114","Sarah_engels_Mary_empties_a_mailbox_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",2018,4718,4666,-52
"115","Sarah_engels_Mary_empties_a_mailbox_0.wav","920a27b518e889e62252ffb5766b8a71",2018,4718,4693,-25
"116","Sarah_engels_Mary_empties_a_mailbox_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",2018,4718,4619,-99
"117","Sarah_engels_Mary_empties_a_mailbox_0.wav","f8c19b269a3307cc3794c234603144f8",2018,4718,4774,56
"118","Sarah_engels_Mary_fills_a_bucket_0.wav","13c98e912212b5f35940704e0b0888ba",1761,4461,4719,258
"119","Sarah_engels_Mary_fills_a_bucket_0.wav","1615981459",1761,4461,4573,112
"120","Sarah_engels_Mary_fills_a_bucket_0.wav","46c3b725b7b943366f24bc420b0d72a7",1761,4461,4717,256
"121","Sarah_engels_Mary_fills_a_bucket_0.wav","7304b0bf72856db551282e1c54fbf7eb",1761,4461,4771,310
"122","Sarah_engels_Mary_fills_a_bucket_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1761,4461,4808,347
"123","Sarah_engels_Mary_fills_a_bucket_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1761,4461,5989,1528
"124","Sarah_engels_Mary_fills_a_bucket_0.wav","920a27b518e889e62252ffb5766b8a71",1761,4461,5037,576
"125","Sarah_engels_Mary_fills_a_bucket_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1761,4461,4801,340
"126","Sarah_engels_Mary_fills_a_bucket_0.wav","f8c19b269a3307cc3794c234603144f8",1761,4461,4810,349
"127","Sarah_engels_Mary_fixes_a_wall_0.wav","13c98e912212b5f35940704e0b0888ba",1798,4498,4996,498
"128","Sarah_engels_Mary_fixes_a_wall_0.wav","1615981459",1798,4498,4744,246
"129","Sarah_engels_Mary_fixes_a_wall_0.wav","46c3b725b7b943366f24bc420b0d72a7",1798,4498,5068,570
"130","Sarah_engels_Mary_fixes_a_wall_0.wav","7304b0bf72856db551282e1c54fbf7eb",1798,4498,5091,593
